asset_id,platform,ts_utc,listed_for,sold_for,ea_tax,net_price
arda-guler-fantasy-fc,ps,2026-03-27T00:16:00,869000,869000,43450,825550
arda-guler-fantasy-fc,ps,2026-03-27T02:00:00,899000,899000,44950,854050
arda-guler-fantasy-fc,ps,2026-03-27T03:08:00,903000,903000,45150,857850
arda-guler-fantasy-fc,ps,2026-03-27T03:11:00,898000,898000,44900,853100
arda-guler-fantasy-fc,ps,2026-03-27T03:22:00,804000,804000,40200,763800
arda-guler-fantasy-fc,ps,2026-03-27T07:19:00,863000,863000,43150,819850
arda-guler-fantasy-fc,ps,2026-03-27T07:55:00,871000,871000,43550,827450
arda-guler-fantasy-fc,ps,2026-03-27T09:50:00,900000,900000,45000,855000
arda-guler-fantasy-fc,ps,2026-03-27T10:39:00,880000,880000,44000,836000
arda-guler-fantasy-fc,ps,2026-03-27T12:45:00,900000,900000,45000,855000
arda-guler-fantasy-fc,ps,2026-03-27T12:47:00,899000,831000,41550,789450
arda-guler-fantasy-fc,ps,2026-03-27T13:26:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-27T13:59:00,837000,837000,41850,795150
arda-guler-fantasy-fc,ps,2026-03-27T14:29:00,833000,709000,35450,673550
arda-guler-fantasy-fc,ps,2026-03-27T15:18:00,815000,800000,40000,760000
arda-guler-fantasy-fc,ps,2026-03-27T15:32:00,805000,726000,36300,689700
arda-guler-fantasy-fc,ps,2026-03-27T16:00:00,804000,804000,40200,763800
arda-guler-fantasy-fc,ps,2026-03-27T17:14:00,834000,834000,41700,792300
arda-guler-fantasy-fc,ps,2026-03-27T17:53:00,869000,869000,43450,825550
arda-guler-fantasy-fc,ps,2026-03-27T18:12:00,1494000,800000,40000,760000
arda-guler-fantasy-fc,ps,2026-03-27T19:54:00,895000,895000,44750,850250
arda-guler-fantasy-fc,ps,2026-03-27T19:58:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-27T20:01:00,840000,840000,42000,798000
arda-guler-fantasy-fc,ps,2026-03-27T21:40:00,899000,899000,44950,854050
arda-guler-fantasy-fc,ps,2026-03-27T22:03:00,891000,891000,44550,846450
arda-guler-fantasy-fc,ps,2026-03-27T23:50:00,830000,830000,41500,788500
arda-guler-fantasy-fc,ps,2026-03-28T00:47:00,865000,865000,43250,821750
arda-guler-fantasy-fc,ps,2026-03-28T01:35:00,870000,870000,43500,826500
arda-guler-fantasy-fc,ps,2026-03-28T03:37:00,840000,840000,42000,798000
arda-guler-fantasy-fc,ps,2026-03-28T03:52:00,805000,805000,40250,764750
arda-guler-fantasy-fc,ps,2026-03-28T06:06:00,820000,820000,41000,779000
arda-guler-fantasy-fc,ps,2026-03-28T10:39:00,840000,840000,42000,798000
arda-guler-fantasy-fc,ps,2026-03-28T10:58:00,828000,828000,41400,786600
arda-guler-fantasy-fc,ps,2026-03-28T11:21:00,784000,784000,39200,744800
arda-guler-fantasy-fc,ps,2026-03-28T11:23:00,784000,784000,39200,744800
arda-guler-fantasy-fc,ps,2026-03-28T11:49:00,840000,840000,42000,798000
arda-guler-fantasy-fc,ps,2026-03-28T12:18:00,860000,790000,39500,750500
arda-guler-fantasy-fc,ps,2026-03-28T12:34:00,839000,839000,41950,797050
arda-guler-fantasy-fc,ps,2026-03-28T12:34:00,830000,830000,41500,788500
arda-guler-fantasy-fc,ps,2026-03-28T13:16:00,850000,750000,37500,712500
arda-guler-fantasy-fc,ps,2026-03-28T13:43:00,799000,799000,39950,759050
arda-guler-fantasy-fc,ps,2026-03-28T14:17:00,787000,722000,36100,685900
arda-guler-fantasy-fc,ps,2026-03-28T14:46:00,750000,750000,37500,712500
arda-guler-fantasy-fc,ps,2026-03-28T15:15:00,768000,768000,38400,729600
arda-guler-fantasy-fc,ps,2026-03-28T15:23:00,759000,759000,37950,721050
arda-guler-fantasy-fc,ps,2026-03-28T15:41:00,800000,751000,37550,713450
arda-guler-fantasy-fc,ps,2026-03-28T15:46:00,738000,738000,36900,701100
arda-guler-fantasy-fc,ps,2026-03-28T16:45:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-28T16:47:00,860000,860000,43000,817000
arda-guler-fantasy-fc,ps,2026-03-28T16:52:00,845000,845000,42250,802750
arda-guler-fantasy-fc,ps,2026-03-28T18:38:00,885000,885000,44250,840750
arda-guler-fantasy-fc,ps,2026-03-28T19:23:00,815000,815000,40750,774250
arda-guler-fantasy-fc,ps,2026-03-28T19:35:00,744000,744000,37200,706800
arda-guler-fantasy-fc,ps,2026-03-28T19:37:00,810000,810000,40500,769500
arda-guler-fantasy-fc,ps,2026-03-28T20:09:00,756000,756000,37800,718200
arda-guler-fantasy-fc,ps,2026-03-28T20:23:00,856000,856000,42800,813200
arda-guler-fantasy-fc,ps,2026-03-28T20:34:00,820000,820000,41000,779000
arda-guler-fantasy-fc,ps,2026-03-28T21:08:00,888000,888000,44400,843600
arda-guler-fantasy-fc,ps,2026-03-28T21:27:00,889000,889000,44450,844550
arda-guler-fantasy-fc,ps,2026-03-28T21:27:00,884000,884000,44200,839800
arda-guler-fantasy-fc,ps,2026-03-28T21:31:00,900000,900000,45000,855000
arda-guler-fantasy-fc,ps,2026-03-29T00:35:00,900000,900000,45000,855000
arda-guler-fantasy-fc,ps,2026-03-29T02:00:00,901000,901000,45050,855950
arda-guler-fantasy-fc,ps,2026-03-29T04:56:00,898000,898000,44900,853100
arda-guler-fantasy-fc,ps,2026-03-29T05:53:00,905000,905000,45250,859750
arda-guler-fantasy-fc,ps,2026-03-29T10:40:00,895000,895000,44750,850250
arda-guler-fantasy-fc,ps,2026-03-29T11:14:00,960000,960000,48000,912000
arda-guler-fantasy-fc,ps,2026-03-29T12:13:00,877000,877000,43850,833150
arda-guler-fantasy-fc,ps,2026-03-29T12:36:00,950000,950000,47500,902500
arda-guler-fantasy-fc,ps,2026-03-29T12:49:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-29T12:59:00,810000,810000,40500,769500
arda-guler-fantasy-fc,ps,2026-03-29T13:13:00,1200000,800000,40000,760000
arda-guler-fantasy-fc,ps,2026-03-29T16:32:00,890000,890000,44500,845500
arda-guler-fantasy-fc,ps,2026-03-29T17:56:00,796000,796000,39800,756200
arda-guler-fantasy-fc,ps,2026-03-29T17:58:00,793000,793000,39650,753350
arda-guler-fantasy-fc,ps,2026-03-29T17:59:00,790000,790000,39500,750500
arda-guler-fantasy-fc,ps,2026-03-29T18:01:00,890000,890000,44500,845500
arda-guler-fantasy-fc,ps,2026-03-29T18:36:00,870000,870000,43500,826500
arda-guler-fantasy-fc,ps,2026-03-29T19:06:00,860000,860000,43000,817000
arda-guler-fantasy-fc,ps,2026-03-29T20:22:00,859000,859000,42950,816050
arda-guler-fantasy-fc,ps,2026-03-29T20:25:00,855000,855000,42750,812250
arda-guler-fantasy-fc,ps,2026-03-29T21:20:00,845000,844000,42200,801800
arda-guler-fantasy-fc,ps,2026-03-29T22:15:00,918000,918000,45900,872100
arda-guler-fantasy-fc,ps,2026-03-29T22:28:00,855000,855000,42750,812250
arda-guler-fantasy-fc,ps,2026-03-29T22:42:00,950000,801000,40050,760950
arda-guler-fantasy-fc,ps,2026-03-30T00:02:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-30T00:02:00,867000,867000,43350,823650
arda-guler-fantasy-fc,ps,2026-03-30T03:06:00,810000,810000,40500,769500
arda-guler-fantasy-fc,ps,2026-03-30T04:31:00,869000,869000,43450,825550
arda-guler-fantasy-fc,ps,2026-03-30T06:10:00,860000,860000,43000,817000
arda-guler-fantasy-fc,ps,2026-03-30T09:05:00,870000,870000,43500,826500
arda-guler-fantasy-fc,ps,2026-03-30T09:07:00,884000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-30T09:57:00,860000,860000,43000,817000
arda-guler-fantasy-fc,ps,2026-03-30T10:03:00,899000,899000,44950,854050
arda-guler-fantasy-fc,ps,2026-03-30T14:17:00,1035000,1035000,51750,983250
arda-guler-fantasy-fc,ps,2026-03-30T15:24:00,830000,830000,41500,788500
